Time,X,Y
1715768761.864563,785,352
1715768761.8830788,785,352
1715768761.9026482,786,348
1715768761.9146252,788,343
1715768761.9302602,793,333
1715768761.945952,798,313
1715768761.9615765,817,269
1715768761.980782,835,225
1715768761.9934108,838,175
1715768762.0091567,852,135
1715768762.0091567,867,122
1715768762.0247514,884,108
1715768762.0404165,889,109
1715768762.0560453,895,107
1715768762.071622,897,106
1715768762.0878198,897,105
1715768762.1035469,897,105
1715768762.1190898,897,104
1715768762.1347897,898,105
1715768762.150326,900,106
1715768762.166031,900,107
1715768762.1816301,899,107
1715768762.1973689,900,106
1715768762.2130113,901,106
1715768762.228637,901,106
1715768762.2442567,901,106
1715768762.2598875,902,105
1715768762.2795694,903,103
1715768762.2976522,904,103
1715768762.316974,904,102
1715768762.3371959,904,102
1715768762.34356,906,102
1715768762.3527687,911,102
1715768762.3593502,914,103
1715768762.3683047,918,101
1715768762.3762016,919,108
1715768762.3838866,923,111
1715768762.3914194,934,117
1715768762.400462,935,119
1715768762.418567,940,134
1715768762.4309008,956,152
1715768762.4460294,972,180
1715768762.4617908,987,216
1715768762.4617908,1000,271
1715768762.4773788,1013,335
1715768762.4935246,1016,372
1715768762.5092793,1012,393
1715768762.5092793,1006,414
1715768762.5286376,992,438
1715768762.5362282,971,460
1715768762.5539446,946,493
1715768762.568819,925,515
1715768762.5819187,907,526
1715768762.5965474,891,507
1715768762.6064909,885,490
1715768762.616573,877,476
1715768762.6358383,868,465
1715768762.651157,868,455
1715768762.6670003,866,450
1715768762.6792383,868,444
1715768762.6861846,869,439
1715768762.6942282,870,435
1715768762.700126,870,433
1715768762.717244,868,432
1715768762.73074,868,431
1715768762.7464924,868,431
1715768762.762116,780,452
1715768762.7817626,779,452
1715768762.7939007,780,452
1715768762.8096647,779,453
1715768762.825283,779,453
1715768762.8409061,778,453
1715768762.8565323,777,453
1715768762.8720424,777,453
1715768762.888184,776,454
1715768762.903892,777,453
1715768762.9195235,776,452
1715768762.9350777,774,453
1715768762.950783,773,452
1715768762.966399,771,453
1715768762.9824967,769,452
1715768762.998258,764,454
1715768763.0138903,762,453
1715768763.0295057,757,454
1715768763.0295057,752,454
1715768763.0450788,746,456
1715768763.060746,737,456
1715768763.0763764,724,455
1715768763.0921526,707,455
1715768763.1079135,693,456
1715768763.1235316,673,457
1715768763.1391594,649,458
1715768763.1547785,617,460
1715768763.1704078,586,461
1715768763.1861908,552,460
1715768763.201951,522,458
1715768763.2175744,487,451
1715768763.2332,469,447
1715768763.2488666,455,443
1715768763.264319,444,438
1715768763.2836957,439,434
1715768763.296233,446,428
1715768763.3119829,495,420
1715768763.3276074,505,418
1715768763.343227,516,417
1715768763.3588536,527,416
1715768763.3588536,540,414
1715768763.3588536,552,411
1715768763.390214,566,409
1715768763.405976,580,406
1715768763.421595,594,403
1715768763.4371092,608,400
1715768763.4528446,622,396
1715768763.468467,637,391
1715768763.484607,652,386
1715768763.5003672,668,381
1715768763.5159428,683,378
1715768763.5315766,698,375
1715768763.5471137,714,370
1715768763.5628579,729,365
1715768763.5784855,744,361
1715768763.5947149,759,358
1715768763.6104765,772,356
1715768763.6260943,786,352
1715768763.6417243,800,348
1715768763.657346,814,344
1715768763.6729717,828,341
1715768763.689205,842,336
1715768763.7049658,856,333
1715768763.7205527,870,330
1715768763.7361844,882,324
1715768763.7517858,897,320
1715768763.7674158,912,317
1715768763.7860594,926,314
1715768763.7991512,939,310
1715768763.814787,952,306
1715768763.8304102,967,303
1715768763.8461537,980,300
1715768763.8617783,993,296
1715768763.877407,1007,289
1715768763.89319,1021,286
1715768763.9089477,1035,281
1715768763.9245706,1048,278
1715768763.940085,1060,274
1715768763.9562569,1075,268
1715768763.972063,1089,265
1715768763.9918022,1103,262
1715768764.003811,1117,257
1715768764.0198255,1126,253
